I1,k,t1,I2,t2,ttf
10.808,0.032267738,7.758333333,11.407,27.125,211.7416667
13.935,0.035525958,6.491666667,14.487,22.625,139.0583333
11.965,0.034514512,7.783333333,12.608,27.20833333,145.9666667
12.218,0.032616087,7.625,12.808,26.64166667,157.1583333
10.59,0.031043336,7.75,11.163,27.075,197.975
13.416,0.030898545,6.483333333,13.892,22.69166667,194.675
12.079,0.032071235,7.741666667,12.672,27.075,178.4583333
14.056,0.036988573,7.6,14.725,26.58333333,126.1416667
12.908,0.031120925,6.466666667,13.39,22.61666667,213.8416667
11.465,0.030056182,6.483333333,11.928,22.60833333,139.975
13.855,0.034314195,6.491666667,14.391,22.625,227.1833333
11.366,0.030056908,6.491666667,11.83,22.625,168.2833333
14.266,0.037946407,6.491666667,14.862,22.71666667,261.4
11.341,0.033788077,7.775,11.968,27.075,170.25
11.703,0.033520221,6.425,12.223,22.46666667,174.825
12.39,0.033879662,6.5,12.916,22.7,94.975
13.006,0.036655955,7.766666667,13.687,27.08333333,161.775
12.005,0.030096473,6.45,12.468,22.55,152.525
11.173,0.03343664,7.775,11.794,27.14166667,173.3166667
11.429,0.03169842,6.5,11.92,22.75,148.8833333
11.933,0.034270394,7.8,12.573,27.28333333,187.7833333
14.138,0.041474741,7.058333333,14.832,24.66666667,105.4083333
15.422,0.046229125,6.466666667,16.137,22.61666667,115.2333333
16.647,0.045750108,6.466666667,17.36,22.6,159.4333333
11.194,0.041027579,7.758333333,11.957,27.11666667,118.525
13.293,0.041664195,6.491666667,13.939,22.68333333,116.45
11.849,0.04094986,7.758333333,12.606,27.14166667,109.75
13.102,0.044335486,6.416666667,13.787,22.45,168
12.93,0.040853402,6.475,13.558,22.60833333,61.38333333
15.778,0.052524268,6.333333333,16.578,22.10833333,157.6583333
13.218,0.039400431,6.475,13.826,22.61666667,115.6583333
13.35,0.038395814,6.466666667,13.942,22.60833333,161.6583333
17.007,0.046042293,6.483333333,17.726,22.69166667,189.2833333
14.807,0.048690899,6.483333333,15.567,22.69166667,114.6833333
14.598,0.046107585,6.483333333,15.314,22.68333333,94.5
17.81,0.046798248,5.291666667,18.394,18.45,188.525
15.945,0.048314818,6.483333333,16.696,22.68333333,242.5583333
13.533,0.049749588,6.325,14.287,22.04166667,114.4416667
13.344,0.043942356,6.475,14.025,22.65,125.0083333
13.125,0.045510345,6.325,13.816,22.11666667,120.875
13.715,0.045878695,6.483333333,14.513,22.69166667,196.525
16.098,0.056229615,6.466666667,16.977,22.60833333,114.3083333
14.227,0.045172881,6.475,14.927,22.60833333,183.925
16.833,0.048236647,6.225,17.555,21.78333333,152.6333333
15.782,0.047748244,6.475,16.52,22.61666667,122.1166667
18.823,0.069398156,5.3,19.693,18.51666667,96.06666667
19.131,0.070282201,5.233333333,20.008,18.30833333,88.04166667
18.798,0.070714741,5.308333333,19.687,18.56666667,54.8
21.797,0.084802594,5.316666667,22.881,18.58333333,67.7
18.677,0.074853057,5.308333333,19.626,18.575,77.86666667
19.76,0.073114763,5.85,20.785,20.45,82.30833333
19.194,0.066537322,5.308333333,20.036,18.575,79.14166667
17.729,0.07388075,5.958333333,18.788,20.84166667,79.21666667
17.796,0.069988077,5.308333333,18.679,18.575,77.30833333
18.041,0.074731233,5.308333333,18.987,18.575,60.58333333
20.397,0.071914186,5.3,21.298,18.48333333,119.925
17.925,0.06102292,5.308333333,18.695,18.575,81.95833333
20.529,0.07008556,5.308333333,21.418,18.575,75.575
22.396,0.071598159,5.308333333,23.301,18.575,133.4666667
17.924,0.073498552,5.316666667,18.86,18.6,91.81666667
18.346,0.066419109,5.308333333,19.185,18.575,79.33333333
20.177,0.072218339,5.316666667,21.098,18.58333333,119.1916667
15.994,0.068482548,5.841666667,16.949,20.36666667,68.11666667
16.631,0.066639284,5.941666667,17.58,20.775,53.73333333
18.75,0.077669809,5.783333333,19.822,20.23333333,71.09166667
15.928,0.06449685,5.958333333,16.852,20.83333333,74.79166667
17.085,0.06767157,5.9,18.044,20.625,83.86666667
19.261,0.066657539,5.308333333,20.103,18.575,92.81666667
16.515,0.073436486,5.95,17.568,20.825,93.775
9.978,0.042869037,3.333333333,10.318,11.65833333,161.9666667
8.529,0.036027324,3.566666667,8.835,12.475,108.8416667
9.496,0.044383737,3.641666667,9.884,12.71666667,137.3916667
9.399,0.040619901,3.325,9.723,11.61666667,182.225
10.971,0.048763764,3.325,11.366,11.625,145.3
9.329,0.042066059,3.333333333,9.663,11.64166667,151.1416667
7.349,0.031229199,4.358333333,7.673,15.16666667,140.9
8.23,0.037422683,4.025,8.589,14.08333333,228.4583333
9.29,0.046390206,3.325,9.662,11.625,241.5666667
7.576,0.033947722,3.975,7.897,13.85833333,144.2583333
10.924,0.044214483,2.383333333,11.179,8.341666667,358.5583333
9.503,0.036201062,3.316666667,9.789,11.55,358.5583333
12.635,0.054597955,3.341666667,13.073,11.69166667,134.9
13.889,0.066928235,3.341666667,14.428,11.675,116.85
11.007,0.056540279,3.35,11.458,11.69166667,114.3083333
13.329,0.066527665,3.35,13.864,11.69166667,117.0333333
10.046,0.049723823,3.341666667,10.444,11.68333333,165.75
13.035,0.072580285,3.341666667,13.625,11.69166667,101.4333333
13.608,0.064499441,3.333333333,14.125,11.63333333,146.875
11.249,0.060110338,3.325,11.731,11.59166667,126.6083333
12.087,0.063033959,3.35,12.591,11.7,111.1416667
11.688,0.06397773,3.333333333,12.199,11.65,135.075
12.021,0.071667291,3.333333333,12.598,11.66666667,100.9
17.839,0.087687604,2.4,18.337,8.4,81.89166667
14.68,0.103896853,3.025,15.43,10.55833333,67.65
15.127,0.102739663,3.341666667,15.956,11.69166667,49.03333333
18.122,0.093792627,2.416666667,18.664,8.441666667,79.54166667
16.735,0.088539796,2.416666667,17.246,8.441666667,59.63333333
16.736,0.096061212,2.416666667,17.287,8.433333333,54.25
14.213,0.083928902,2.416666667,14.695,8.45,94.88333333
16.467,0.10196005,2.408333333,17.06,8.408333333,112.1166667
17.407,0.094739762,2.425,17.953,8.458333333,87.9
14.863,0.086635982,2.375,15.352,8.308333333,58.575
18.696,0.174529033,5.491666667,21.171,19.20833333,64.41666667
14.643,0.095620201,2.533333333,15.22,8.858333333,61.23333333
16.8,0.133783621,3.133333333,17.815,10.95,57.79166667
17.577,0.11523445,2.391666667,18.242,8.366666667,63.58333333
17.875,0.131288594,2.4,18.631,8.391666667,67.05
17.262,0.120858024,2.4,17.958,8.391666667,60.78333333
18.239,0.117795319,2.525,18.958,8.825,45.225
18.988,0.103805218,2.5,19.615,8.733333333,71.05
17.073,0.107681573,2.4,17.735,8.383333333,60.825
17.928,0.122009666,2.416666667,18.637,8.441666667,90.78333333
16.636,0.063921639,1.766666667,16.932,6.141666667,75.48333333
14.74,0.10177102,2.408333333,15.32,8.425,55.3
16.151,0.104638604,2.5,16.778,8.741666667,61.14166667
19.154,0.128870763,2.375,19.898,8.308333333,48.075
16.628,0.116428319,2.4,17.296,8.383333333,50.38333333
16.791,0.119900586,2.4,17.482,8.383333333,71.16666667
17.987,0.117605035,2.416666667,18.667,8.45,44.69166667
16.111,0.113501644,2.4,16.761,8.375,63.59166667
16.115,0.108386329,2.408333333,16.732,8.425,78.775
16.801,0.109555427,2.408333333,17.432,8.425,44.25833333
17.117,0.115963902,2.4,17.782,8.4,53.14166667
15.317,0.112509101,2.508333333,15.992,8.766666667,61.44166667
19.441,0.103267763,2.541666667,20.071,8.891666667,100.2416667
22.256,0.158619619,2.383333333,23.17,8.333333333,44.56666667
18.703,0.151186451,2.458333333,19.596,8.591666667,62.86666667
21.748,0.12148688,2.466666667,22.473,8.633333333,49.525
20.929,0.149250525,2.4,21.793,8.391666667,55.625
23.788,0.155886447,2.391666667,24.693,8.366666667,53.73333333
23.139,0.15827193,2.391666667,24.05,8.358333333,69.36666667
